"booti","stat","value"
"30","mua",1.17275906807425
"30","siga",2.11567983668461
"30","mub",1.13620707605363
"30","sigb",5.40526457449337
"30","pubpar1",NA
"30","pubpar2",0.628367608064768
"30","loglike",-1.77913490687858
"31","pif",0.621727196203051
"31","pia",0.910673105463393
"31","mua",0.525617988604504
"31","siga",2.91918971368083
"31","mub",5.53333919258047
"31","sigb",5.11057530407117
"31","pubpar1",NA
"31","pubpar2",0.63580847424745
"31","loglike",-1.81576255277289
"32","pif",0.17481110152772
"32","pia",0.933842197690614
"32","mua",0.759832915562154
"32","siga",2.57293615685304
"32","mub",7.53377561161767
"32","sigb",3.67416014402034
"32","pubpar1",NA
"32","pubpar2",0.666661302178311
"32","loglike",-1.7894246452008
"33","pif",0.383588463807319
"33","pia",0.165911810324082
"33","mua",3.46374901049587
"33","siga",4.881714886507
"33","mub",1.32022665891642
"33","sigb",2.21959893830124
"33","pubpar1",NA
"33","pubpar2",0.659589435041234
"33","loglike",-1.8134726737695
"34","pif",0.337039490631814
"34","pia",0.897719756165403
"34","mua",0.754275500068944
"34","siga",2.50070202606511
"34","mub",5.05613333988788
"34","sigb",4.6004339186494
"34","pubpar1",NA
"34","pubpar2",0.661713620008979
"34","loglike",-1.81284736497972
"35","pif",0.359431915840525
"35","pia",0.878081779134309
"35","mua",0.743275999746288
"35","siga",2.5685303665567
"35","mub",3.64716237936946
"35","sigb",5.37976850925066
"35","pubpar1",NA
"35","pubpar2",0.666666666666667
"35","loglike",-1.81301245963043
"36","pif",0.424407472846348
"36","pia",0.969175768460014
"36","mua",0.5
"36","siga",2.85129213586289
"36","mub",9.96101744714196
"36","sigb",2.99005802590314
"36","pubpar1",NA
"36","pubpar2",0.663070523745465
"36","loglike",-1.81198738093292
"37","pif",0.295436649673775
"37","pia",0.821352927955952
"37","mua",0.506582626301241
"37","siga",2.48262205246355
"37","mub",2.06250169125948
"37","sigb",5.38850631088625
"37","pubpar1",NA
"37","pubpar2",0.666666666666667
"37","loglike",-1.81343838910635
"38","pif",0.223183192935155
"38","pia",0.148057180185046
"38","mua",2.0299079877778
"38","siga",5.51347807101025
"38","mub",1
"38","sigb",2.28674844557741
"38","pubpar1",NA
"38","pubpar2",0.666666666666666
"38","loglike",-1.81356697137608
"39","pif",0.494129769129776
"39","pia",0.777742402647119
"39","mua",1.83301196852835
"39","siga",1.81323544793643
"39","mub",1
"39","sigb",5.64397281695397
"39","pubpar1",NA
"39","pubpar2",0.666666666666667
"39","loglike",-1.81472704383738
"40","pif",0.351166180613113
"40","pia",0.877751254190855
"40","mua",0.977597828946541
"40","siga",2.24972459985348
